City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
580,Harindanga,IN,73.38,scattered clouds,22.0383,88.3214,Hasanur Builders
581,Carmen,MX,79.05,overcast clouds,18.6333,-91.8333,Hotel Lossandes
585,Sur,OM,73.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
586,Nioaque,BR,75.61,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
588,Posse,BR,75.79,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
594,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
595,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
596,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
597,Yara,CU,86.34,overcast clouds,20.2753,-76.9533,Casa de Margarita Puebla Lorente
598,Buluang,PH,75.83,overcast clouds,13.3068,123.3425,Enon Beach Resort
599,Carlsbad,US,77.65,haze,33.1581,-117.3506,Carlsbad Inn Beach Resort
600,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
601,Maragogi,BR,79.39,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
603,Harper,LR,80.51,clear sky,4.375,-7.7169,Screensaver
604,Poum,NC,77.18,clear sky,-20.2333,164.0167,Gîte kajeon
605,Kampar,MY,78.62,overcast clouds,4.3,101.15,Grand Kampar Hotel
606,Asuncion,PY,81.9,clear sky,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
607,Hobyo,SO,79.3,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
614,Phonhong,LA,71.87,broken clouds,18.5007,102.4166,Manyvong Guest House
618,Saint-Leu,RE,74.26,few clouds,-21.15,55.2833,La Caz Oceane
620,Arlit,NE,82.31,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
622,Moroni,KM,77.88,clear sky,-11.7022,43.2551,Hotel les Arcades
623,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
624,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
625,Minbu,MM,72.12,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
631,Bocas Del Toro,PA,88.07,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
633,Necocli,CO,84.31,few clouds,8.4234,-76.786,Hotel Boutique El Turista
634,Zaria,NG,76.48,clear sky,11.1113,7.7227,Nubapoly Guest Inn
638,Bubaque,GW,83.93,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
644,Inhambane,MZ,74.07,overcast clouds,-23.865,35.3833,Oceano
646,Mazamari,PE,75.97,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
650,Oriximina,BR,85.55,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
652,San Benito Abad,CO,85.32,overcast clouds,8.929,-75.0271,"Tu casa en la villa "" Dónde la seño Cristina"""
653,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
660,Mangrol,IN,76.93,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
661,Petatlan,MX,85.15,clear sky,17.5167,-101.2667,Hotel California Petatlán
662,Itapora,BR,78.57,overcast clouds,-22.0799,-54.7874,Hotel Santa Fé
664,Lorengau,PG,80.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
666,Felipe Carrillo Puerto,MX,81.34,overcast clouds,19.5833,-88.05,Hotel La Ceiba
673,Biak,ID,76.62,few clouds,-0.9131,122.8766,Penginapan Kim
676,Boyuibe,BO,87.71,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
683,Kalmunai,LK,78.08,overcast clouds,7.4167,81.8167,VS Villa
684,Pochutla,MX,89.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
689,Magadi,IN,70.14,light rain,12.9667,77.2333,Gowdru Military Hotel Magadi
690,Samarinda,ID,73.15,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
695,Tomatlan,MX,88.39,clear sky,19.9333,-105.25,El Salvial
697,Eirunepe,BR,78.96,overcast clouds,-6.6603,-69.8736,Atrás de você
